date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2026-02-20,2026,United Arab Emirates Contribution to Sudan Humanitarian Fund (SUHF) 2026,5000000,"United Arab Emirates, Government of",Governments,ARE,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,Sudan Humanitarian Fund,Pooled Funds,,SDN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-01-20,2026-01-15,,,,,374223,OCT/ARE/2026/77941/OCHA(CBPF-OCHA)/SDN/85108 -,2026-02-24,2026-02-24
2026-04-10,2026,Food Security & Livelihoods,19608,"Australia, Government of",Governments,AUS,2026,2026,Cuba Plan of Action 2026 – Response to Hurricane Melissa,OCUB26,1601,World Food Programme,Multilateral Organizations,Food Security,CUB,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-10,2026-02-06,,27000,AUD,1.377,384437,10052509	 No 	 EOL 77225/28 	 AUL-C-00372-01 	 CU03.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Australia support to WFP,0,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,,BGD,,,,2026,2026,financial,Parked,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384468,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Education,1116892,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,Education,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384469,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Food Security - Food Assistance,9000000,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,Food Security,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384470,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-10,,Nutrition,2000000,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,World Food Programme,Multilateral Organizations,Nutrition,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-02-27,,,,,384471,10052630	 No 	 77335-29 	 AUL-C-00373-01 	 BD02.01.011.URT1,2026-04-10,2026-04-10
2026-04-06,2026,Food Security - Food Assistance,2130682,"Australia, Government of",Governments,AUS,2026,2026,Lebanon Flash Appeal 2026,FLBN26,1568,World Food Programme,Multilateral Organizations,Food Security,LBN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-04-03,2026-03-23,,3000000,AUD,1.408,384083,10052690	 No 	 77335-18 	 AUL-C-00361-02 	 LB02,2026-04-06,2026-04-06
2026-02-18,2025,"Rohingya Humanitarian Crisis Joint Response Plan
Early Recovery
Enhancing staffing and operational capacities in key resettlement operations and for Complementary Pathways Globally: Resettlement Operational Support component",48450,"Australia, Government of",Governments,AUS,2026,2026,Rohingya Humanitarian Crisis Joint Response Plan 2026,RBGD26,1524,United Nations High Commissioner for Refugees,Multilateral Organizations,Protection,BGD,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-02-18,2025-06-10,,75000,AUD,1.548,379099,25-GOV-AU-007-01,2026-02-18,2026-02-18
2026-01-20,2026,Health	Improved access to essential health services by the vulnerable populations in the conflict affected areas,2443601,"Australia, Government of",Governments,AUS,2026,2026,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,1505,Access to Health Fund,Pooled Funds,Health,MMR,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,commitment,2026-01-20,2026-01-01,,3648296,AUD,1.493,374227,,2026-01-28,2026-01-28
2025-12-30,2026,Australia Contribution to Sudan Humanitarian Fund (SUHF) 2026,9758466,"Australia, Government of",Governments,AUS,2026,2026,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,1514,Sudan Humanitarian Fund,Pooled Funds,,SDN,,,,2026,2026,financial,Standard,Traditional aid,outgoing,single,paid,2026-01-13,2026-01-12,,14000000,AUD,1.493,373455,OCT/AUS/2026/77811/OCHA(CBPF-OCHA)/SDN/84944 EOL No 77338/13,2026-02-04,2026-02-04
