date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
2026-04-15,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Emergency Water, Sanitation, and Hygiene (WASH) Response for Communities at Risk of Drought in Sar-e-Pul Province.
Project Start Date: 2026-04-01 - Project End Date: 2026-11-30
Project Code: CBPF-AFG-26-R-NGO-39230
Emergency Type: Climate / natural disaster - Drought",0,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,Organization for Coordination of Humanitarian Relief,NGOs,,AFG,,,,2026,2026,financial,Parked,Traditional aid,internal,single,paid,2026-04-05,2026-04-07,,,,,384280,CBPF-AFG-26-R-NGO-39230,2026-04-16,2026-04-16
2026-04-15,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Emergency Water, Sanitation, and Hygiene (WASH) Response for Communities at Risk of Drought in Sar-e-Pul Province.
Project Start Date: 2026-04-01 - Project End Date: 2026-11-30
Project Code: CBPF-AFG-26-R-NGO-39230
Emergency Type: Climate / natural disaster - Drought",609778,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,Organization for Coordination of Humanitarian Relief,NGOs,Water Sanitation Hygiene,AFG,,,,2026,2026,financial,Standard,Traditional aid,internal,single,paid,2026-04-05,2026-04-07,,,,,384281,CBPF-AFG-26-R-NGO-39230,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Multi-Purpose Cash assistance (MPCA) to vulnerable households in northern province
Project Start Date: 2026-04-01 - Project End Date: 2026-09-30
Project Code: CBPF-AFG-26-R-INGO-39226
Emergency Type: Climate / natural disaster - Drought",0,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,ActionAid International,NGOs,,AFG,,,,2026,2026,financial,Parked,Traditional aid,internal,single,paid,2026-03-31,2026-04-07,,,,,384273,CBPF-AFG-26-R-INGO-39226,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Multi-Purpose Cash assistance (MPCA) to vulnerable households in northern province
Project Start Date: 2026-04-01 - Project End Date: 2026-09-30
Project Code: CBPF-AFG-26-R-INGO-39226
Emergency Type: Climate / natural disaster - Drought",996645,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,ActionAid International,NGOs,Multi-sector,AFG,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),internal,single,paid,2026-03-31,2026-04-07,,,,,384274,CBPF-AFG-26-R-INGO-39226,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Multi-Purpose Cash Assistance and Emergency Agricultural Support for Vulnerable Communities Exposed to Drought in Jawzjan and Balkh Provinces – 2026 Anticipatory Action Response
Project Start Date: 2026-04-01 - Project End Date: 2026-12-31
Project Code: CBPF-AFG-26-R-INGO-39229
Emergency Type: Climate / natural disaster - Drought",0,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs,,AFG,,,,2026,2026,financial,Parked,Traditional aid,internal,single,paid,2026-04-05,2026-04-07,,,,,384275,CBPF-AFG-26-R-INGO-39229,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Multi-Purpose Cash Assistance and Emergency Agricultural Support for Vulnerable Communities Exposed to Drought in Jawzjan and Balkh Provinces – 2026 Anticipatory Action Response
Project Start Date: 2026-04-01 - Project End Date: 2026-12-31
Project Code: CBPF-AFG-26-R-INGO-39229
Emergency Type: Climate / natural disaster - Drought",799713,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs,Multi-sector,AFG,,,,2026,2026,financial,Standard,Cash transfer programming (CTP),internal,single,paid,2026-04-05,2026-04-07,,,,,384276,CBPF-AFG-26-R-INGO-39229,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Multi-Purpose Cash Assistance and Emergency Agricultural Support for Vulnerable Communities Exposed to Drought in Jawzjan and Balkh Provinces – 2026 Anticipatory Action Response
Project Start Date: 2026-04-01 - Project End Date: 2026-12-31
Project Code: CBPF-AFG-26-R-INGO-39229
Emergency Type: Climate / natural disaster - Drought",199928,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs,Food Security,AFG,,,,2026,2026,financial,Standard,Traditional aid,internal,single,paid,2026-04-05,2026-04-07,,,,,384277,CBPF-AFG-26-R-INGO-39229,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Water Sanitation &amp; Hygiene (100%) for Vulnerable Households in Jawzjan and Sare Pul Province
Project Start Date: 2026-04-01 - Project End Date: 2026-09-30
Project Code: CBPF-AFG-26-R-INGO-39281
Emergency Type: Climate / natural disaster - Drought",0,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,ActionAid International,NGOs,,AFG,,,,2026,2026,financial,Parked,Traditional aid,internal,single,paid,2026-03-31,2026-04-07,,,,,384278,CBPF-AFG-26-R-INGO-39281,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Water Sanitation &amp; Hygiene (100%) for Vulnerable Households in Jawzjan and Sare Pul Province
Project Start Date: 2026-04-01 - Project End Date: 2026-09-30
Project Code: CBPF-AFG-26-R-INGO-39281
Emergency Type: Climate / natural disaster - Drought",330135,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,ActionAid International,NGOs,Water Sanitation Hygiene,AFG,,,,2026,2026,financial,Standard,Traditional aid,internal,single,paid,2026-03-31,2026-04-07,,,,,384279,CBPF-AFG-26-R-INGO-39281,2026-04-16,2026-04-16
2026-04-14,2026,"Allocation Type: Reserve - 1st Reserve Allocation - Anticipatory Action
Emergency Livestock Support for Communities at Risk of Drought in the Faryab Province.
Project Start Date: 2026-04-01 - Project End Date: 2026-09-30
Project Code: CBPF-AFG-26-R-NGO-39231
Emergency Type: Climate / natural disaster - Drought",0,Afghanistan Humanitarian Fund,Pooled Funds,AFG,2026,2026,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,1502,Organization for Coordination of Humanitarian Relief,NGOs,,AFG,,,,2026,2026,financial,Parked,Traditional aid,internal,single,paid,2026-04-05,2026-04-07,,,,,384282,CBPF-AFG-26-R-NGO-39231,2026-04-16,2026-04-16
