countryCode,id,name,code,typeId,typeName,startDate,endDate,year,requirements,funding,covidFunding,covidPercentageOfFunding
AFG,1100,Afghanistan Humanitarian Response Plan 2022,HAFG22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,4442200000,3269032938,12744301,0
AFG,1031,Afghanistan Humanitarian Response Plan 2021,HAFG21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,868666483,833236959,21031388,3
AFG,929,Afghanistan Humanitarian Response Plan 2020,HAFG20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,1131050820,600940338,187852973,31
AFG,1006,GHRP (COVID) Famine Prevention 2020,OGLBL20b,6,Other,2020-05-01,2020-12-31,2020,,15000000,15000000,100
AGO,946,Democratic Republic of the Congo Regional Refugee Response Plan 2020,RDRCRRP20,111,Regional response plan,2020-01-01,2020-12-31,2020,,9604566,1038000,11
ARG,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,18938063,5623402,761070,14
BDI,1075,Burundi Plan de Réponse Humanitaire 2022,HBDI22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,182414025,75530712,3892490,5
BDI,1039,Burundi Plan de Réponse Humanitaire 2021,HBDI21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,194684000,90170101,2763810,3
BDI,922,Burundi Plan de Réponse Humanitaire 2020,HBDI20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,197893000,89049799,12219267,14
BEN,986,Bénin Plan de Réponse Intersectorielle COVID-19 2020,OBEN20,6,Other,2020-05-01,2020-12-31,2020,17930000,3346554,3346554,100
BFA,1087,Burkina Faso Plan de Réponse Humanitaire 2022,HBFA22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,805099698,355267566,1154969,0
BFA,1037,Burkina Faso Plan de Réponse Humanitaire 2021,HBFA21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,607875894,312447454,2180816,1
BFA,930,Burkina Faso Plan de Réponse Humanitaire 2020,HBFA20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,424357861,257103703,52844686,21
BGD,1023,Rohingya Humanitarian Crisis Joint Response Plan 2021,RBGD21,111,Regional response plan,2021-01-01,2021-12-31,2021,943123350,689644844,15665084,2
BGD,998,Bangladesh Intersectoral COVID-19 Response Plan 2020,OBGD20,6,Other,2020-05-01,2020-12-31,2020,205934700,56199523,52173448,93
BGD,906,Rohingya Humanitarian Crisis Joint Response Plan 2020,RBGD20,111,Regional response plan,2020-01-01,2020-12-31,2020,1058092856,630040126,84344750,13
BOL,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,5796141,3289435,2475036,75
BRA,1069,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,RREG22,111,Regional response plan,2022-01-01,2022-12-31,2022,125548197,31892778,319337,1
BRA,1021,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2021,RREG21,111,Regional response plan,2021-01-01,2021-12-31,2021,98126574,41078278,2427882,6
BRA,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,51510911,16948679,33
CAF,1064,République Centrafricaine Plan de Réponse Humanitaire 2022,HCAF22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,461253975,444602691,1530806,0
CAF,1025,République Centrafricaine Plan de Réponse Humanitaire 2021,HCAF21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,444760000,408528936,8915724,2
CAF,923,République Centrafricaine Plan de Réponse Humanitaire 2020,HCAF2021,4,Humanitarian response plan,2020-01-02,2021-01-01,2020,553622290,376984112,80489898,21
CHL,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,9094497,283856,3
CMR,1030,Cameroon Humanitarian Response Plan  2021,HCMR21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,361554315,194934692,9510837,5
CMR,927,Cameroon Humanitarian Response Plan 2020,HCMR20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,390920124,193292048,53132880,27
COD,1093,République Démocratique du Congo Plan de Réponse Humanitaire 2022,HCOD22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,1881674597,1005134053,4864414,0
COD,1026,République Démocratique du Congo Plan de Réponse Humanitaire 2021,HCOD21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,1984303303,869811526,24173266,3
COD,919,République Démocratique du Congo Plan de Réponse Humanitaire 2020,HCOD20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,2069134820,866481462,122216620,14
COD,1006,GHRP (COVID) Famine Prevention 2020,OGLBL20b,6,Other,2020-05-01,2020-12-31,2020,,7000000,7000000,100
COG,1092,Democratic Republic of the Congo Regional Refugee Response Plan 2022,RDRCRRP22,111,Regional response plan,2022-01-01,2022-12-31,2022,15470197,16289288,992842,6
COG,1005,République du Congo Plan de Réponse Intersectorielle COVID-19 2020,OCOG20,6,Other,2020-01-05,2020-12-31,2020,11989124,3539451,1519025,43
COG,946,Democratic Republic of the Congo Regional Refugee Response Plan 2020,RDRCRRP20,111,Regional response plan,2020-01-01,2020-12-31,2020,,5301576,2437361,46
COL,1090,Colombia Plan de Respuesta Humanitaria 2022,HCOL22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,282854048,123464837,695931,1
COL,1069,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2022,RREG22,111,Regional response plan,2022-01-01,2022-12-31,2022,802903743,330009667,4201957,1
COL,1016,Colombia Plan de Respuesta Humanitaria 2021,HCOL21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,174010305,87380598,5276553,6
COL,1021,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2021,RREG21,111,Regional response plan,2021-01-01,2021-12-31,2021,640990540,313193552,846727,0
COL,950,Colombia Plan de Respuesta Humanitaria 2020,HCOL20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,209700000,28915918,531350,2
COL,985,Colombia Plan de Respuesta Intersectorial COVID-19 2020,OCOL20,6,Other,2020-05-01,2020-12-31,2020,283920647,35750996,34142644,96
COL,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,353653191,15116721,4
CRI,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,2598209,1784750,69
DJI,1003,Djibouti Intersectoral COVID-19 Response Plan 2020,ODJI20,6,Other,2020-05-01,2020-12-31,2020,29983416,6685207,5253591,79
DJI,1008,Regional Migrant Response Plan for the Horn of Africa and Yemen 2020,RDJIETHSOMYEM20,111,Regional response plan,2020-01-01,2020-12-31,2020,,250000,250000,100
DOM,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,5934628,2671102,45
ECU,999,Ecuador Plan de Respuesta Intersectorial COVID-19 2020,OECU20,6,Other,2020-05-01,2020-12-31,2020,46425000,20402674,19852674,97
ECU,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,95691308,3468610,4
EGY,1020,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2021,RSYR21,111,Regional response plan,2021-01-01,2021-12-31,2021,127315564,74343379,785454,1
EGY,943,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2020,RSYR20,111,Regional response plan,2020-01-01,2020-12-31,2020,169085255,75728315,14783185,20
ETH,1079,Ethiopia Humanitarian Response Plan 2022,HETH22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,3335002211,1710540760,2662602,0
ETH,1041,Ethiopia Humanitarian Response Plan 2021,HETH21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,1488027181,719135365,10855001,2
ETH,936,Ethiopia Humanitarian Response Plan 2020,HETH20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,1250804122,728748202,107496394,15
ETH,947,South Sudan Regional Refugee Response Plan 2020,RETHKENUGA20,111,Regional response plan,2020-01-01,2020-12-31,2020,,35721330,8723279,24
GTM,1085,Guatemala Plan de Respuesta Humanitaria 2022,HGTM22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,153531304,56937681,421965,1
GUY,944,Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2020,RREG20,111,Regional response plan,2020-01-01,2020-12-31,2020,59659922,3296048,587500,18
HTI,1043,Haïti Plan de Réponse Humanitaire 2021,HHTI21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,235595167,65475775,174091,0
HTI,1056,Haiti Earthquake Flash Appeal 2021,FHTI2122,5,Flash appeal,2021-08-16,2022-02-15,2021,187295000,77677979,448632,1
HTI,920,Haïti Plan de Réponse Humanitaire 2020,HHTI20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,471993035,153296222,27438737,18
IRN,987,Iran Intersectoral COVID-19 Response Plan 2020,OIRN20,6,Other,2020-05-01,2020-12-31,2020,117284681,74082356,73921856,100
IRQ,1083,Iraq Humanitarian Response Plan 2022,HIRQ22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,400004347,361531966,2622150,1
IRQ,1035,Iraq Humanitarian Response Plan 2021,HIRQ21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,607196803,393905691,26323312,7
IRQ,1020,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2021,RSYR21,111,Regional response plan,2021-01-01,2021-12-31,2021,225711493,129203483,1190000,1
IRQ,866,Iraq Humanitarian Response Plan 2020,HIRQ20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,662168145,616522787,106528835,17
IRQ,943,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2020,RSYR20,111,Regional response plan,2020-01-01,2020-12-31,2020,293662566,120476875,1689242,1
JOR,1020,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2021,RSYR21,111,Regional response plan,2021-01-01,2021-12-31,2021,1600000000,401231464,7352021,2
JOR,1010,Jordan Intersectoral COVID-19 Response Plan 2020,OJOR20,6,Other,2020-05-01,2020-12-31,2020,52845731,18304277,18304277,100
JOR,943,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2020,RSYR20,111,Regional response plan,2020-01-01,2020-12-31,2020,1475421996,596113474,58086325,10
KEN,1000,Kenya Intersectoral COVID-19 Response Plan 2020,OKEN20,6,Other,2020-01-05,2020-12-31,2020,254870684,65024903,62105472,96
KEN,947,South Sudan Regional Refugee Response Plan 2020,RETHKENUGA20,111,Regional response plan,2020-01-01,2020-12-31,2020,,22012106,1868458,8
LBN,1099,Lebanon Emergency Response Plan 2022,OLBN22,6,Other,2022-01-01,2022-12-31,2022,378175867,331297889,1821000,1
LBN,1050,Lebanon Emergency Response Plan 2021,OLBN2122,6,Other,2021-08-03,2022-07-31,2021,167976726,119357388,3697580,3
LBN,1020,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2021,RSYR21,111,Regional response plan,2021-01-01,2021-12-31,2021,2749999998,718485967,2434960,0
LBN,988,Lebanon Intersectoral COVID-19 Response Plan 2020,OLBN20,6,Other,2020-05-01,2020-12-31,2020,136500000,104662589,89629717,86
LBN,943,Syrian Arab Republic Regional Refugee and Resilience Plan (3RP) 2020,RSYR20,111,Regional response plan,2020-01-01,2020-12-31,2020,2656353273,1026446911,27376293,3
LBR,989,Liberia Intersectoral COVID-19 Response Plan 2020,OLBR20,6,Other,2020-05-01,2020-12-31,2020,57000000,7507918,7507918,100
LBY,1060,Libya Humanitarian Response Plan 2022,HLBY22,4,Humanitarian response plan,2022-01-01,2022-12-31,2022,113799273,93699805,5962322,6
LBY,1027,Libya Humanitarian Response Plan 2021,HLBY21,4,Humanitarian response plan,2021-01-01,2021-12-31,2021,189122124,150268390,23260227,15
LBY,931,Libya Humanitarian Response Plan 2020,HLBY20,4,Humanitarian response plan,2020-01-01,2020-12-31,2020,129846005,138340830,39134912,28
LSO,948,Lesotho Flash Appeal 2019-2020,FLSO1920,5,Flash appeal,2019-11-01,2020-04-30,2020,33745000,13733857,588928,4
MDG,1047,Madagascar Grand Sud Flash Appeal 2021,FMDG21,5,Flash appeal,2021-01-01,2021-12-31,2021,166188813,119164991,3030871,3
