rank,config,train_sharpe,val_sharpe,gap,stopped_epoch,time_s
1,"Deep h=16,8 do=0.4 wd=0.2",2.7603,3.0441,-0.2838,90,0.2
2,Bottleneck neck=6 do=0.3 wd=0.1,2.7175,2.991,-0.2735,94,0.2
3,Shallow h=16 do=0.3 wd=0.2 lr=0.02,4.3618,2.9877,1.3741,161,0.2
4,Bottleneck neck=3 do=0.5 wd=0.05,2.7343,2.9874,-0.2531,90,0.2
5,Bottleneck neck=4 do=0.3 wd=0.1,2.716,2.9765,-0.2605,90,0.2
6,Bottleneck neck=4 do=0.5 wd=0.05,2.7126,2.9731,-0.2605,83,0.2
7,"Deep h=8,4 do=0.6 wd=0.2",2.7172,2.9698,-0.2526,94,0.2
8,"Deep h=16,8 do=0.6 wd=0.1",2.7222,2.9692,-0.247,161,0.3
9,Bottleneck neck=4 do=0.5 wd=0.1,2.7259,2.9632,-0.2373,129,0.3
10,"Deep h=8,4 do=0.4 wd=0.1",2.777,2.9337,-0.1567,94,0.2
11,Shallow h=8 do=0.5 wd=0.1 lr=0.01,3.0737,2.8845,0.1893,89,0.1
12,Shallow h=16 do=0.5 wd=0.1 lr=0.02,4.1707,2.8672,1.3034,194,0.2
13,"Deep h=8,4 do=0.6 wd=0.1",2.763,2.8439,-0.0809,81,0.1
14,Shallow h=8 do=0.7 wd=0.1 lr=0.02,3.3968,2.7978,0.599,148,0.2
15,Shallow h=16 do=0.7 wd=0.2 lr=0.02,3.2883,2.7872,0.5011,179,0.2
16,Shallow h=8 do=0.3 wd=0.2 lr=0.01,4.8648,2.7507,2.1141,162,0.2
17,Shallow h=8 do=0.7 wd=0.1 lr=0.01,3.7676,2.6898,1.0777,381,0.4
18,Shallow h=8 do=0.3 wd=0.2 lr=0.02,4.5474,2.6515,1.8959,165,0.2
19,Shallow h=16 do=0.5 wd=0.05 lr=0.02,4.642,2.6289,2.013,198,0.2
20,Shallow h=8 do=0.3 wd=0.05 lr=0.01,2.463,2.6265,-0.1634,81,0.4
21,Shallow h=16 do=0.3 wd=0.2 lr=0.01,4.7696,2.6091,2.1605,152,0.2
22,Shallow h=16 do=0.3 wd=0.1 lr=0.02,5.1283,2.5866,2.5417,257,0.3
23,"Deep h=16,8 do=0.6 wd=0.2",2.8469,2.5855,0.2614,95,0.2
24,Shallow h=8 do=0.7 wd=0.05 lr=0.01,3.4071,2.5598,0.8473,181,0.2
25,Linear lr=0.1 wd=0.1,3.1642,2.5525,0.6117,115,0.1
26,Shallow h=16 do=0.7 wd=0.05 lr=0.01,4.2089,2.5504,1.6585,323,0.4
