rank,config,train_sharpe,val_sharpe,gap,stopped_epoch,time_s
1,"Deep h=8,4 do=0.3 wd=0.15 lr=0.02",3.4851,3.3633,0.1218,165,0.31
2,Bottle n=3 e=20 do=0.3 wd=0.15,2.6622,3.2382,-0.576,81,0.21
3,Shallow h=12 do=0.4 wd=0.15,4.603,3.2268,1.3762,144,0.15
4,"Deep h=16,4 do=0.4 wd=0.2 lr=0.005",2.9161,3.1581,-0.242,81,0.15
5,Bottle n=5 e=16 do=0.4 wd=0.15,2.6267,3.1521,-0.5255,81,0.21
6,"Deep h=12,6 do=0.5 wd=0.3 lr=0.005",2.7803,3.118,-0.3377,81,0.15
7,"Deep h=16,8 do=0.5 wd=0.15 lr=0.005",2.5818,3.1175,-0.5357,81,0.14
8,Bottle n=4 e=20 do=0.4 wd=0.15,2.6964,3.116,-0.4196,81,0.22
9,"Deep h=8,4 do=0.6 wd=0.1 lr=0.005",2.8732,3.1076,-0.2345,81,0.15
10,Bottle n=4 e=20 do=0.5 wd=0.05,3.0048,3.088,-0.0832,81,0.22
11,"Deep h=8,4 do=0.4 wd=0.15 lr=0.02",2.7654,3.0771,-0.3117,81,0.15
12,"Deep h=16,8 do=0.5 wd=0.3 lr=0.02",2.7087,3.0712,-0.3625,81,0.15
13,"Deep h=12,6 do=0.5 wd=0.3 lr=0.01",3.0051,3.0582,-0.0531,81,0.15
14,"Deep h=16,4 do=0.5 wd=0.3 lr=0.005",2.7109,3.0437,-0.3328,81,0.16
15,Bottle n=5 e=12 do=0.3 wd=0.15,2.7122,3.0388,-0.3267,81,0.21
16,"Deep h=20,10 do=0.5 wd=0.2 lr=0.02",2.7256,3.0337,-0.3081,82,0.17
17,"Deep h=12,6 do=0.5 wd=0.1 lr=0.02",2.7253,3.0307,-0.3055,83,0.16
18,"Deep h=12,6 do=0.4 wd=0.2 lr=0.02",2.8871,3.0233,-0.1362,81,0.15
19,"Deep h=16,4 do=0.5 wd=0.2 lr=0.02",2.7371,3.0186,-0.2816,85,0.17
20,Bottle n=5 e=20 do=0.3 wd=0.15,3.0026,3.0168,-0.0141,115,0.28
21,"Deep h=8,4 do=0.3 wd=0.2 lr=0.02",2.7801,3.0161,-0.236,87,0.16
22,"Deep h=16,4 do=0.6 wd=0.1 lr=0.01",2.6237,3.0136,-0.39,83,0.16
23,Bottle n=4 e=12 do=0.3 wd=0.15,2.7234,3.0062,-0.2828,87,0.22
24,"Deep h=12,6 do=0.4 wd=0.2 lr=0.01",2.7761,3.0045,-0.2284,88,0.15
25,Bottle n=4 e=12 do=0.5 wd=0.15,2.7337,2.9997,-0.266,87,0.22
26,"Deep h=20,10 do=0.5 wd=0.3 lr=0.01",2.7589,2.9989,-0.24,96,0.2
27,"Deep h=16,8 do=0.4 wd=0.1 lr=0.005",2.6134,2.9974,-0.3841,81,0.14
28,"Deep h=16,8 do=0.5 wd=0.2 lr=0.02",2.7475,2.9951,-0.2476,85,0.15
29,"Deep h=16,4 do=0.4 wd=0.3 lr=0.005",2.8572,2.995,-0.1378,93,0.18
30,Bottle n=3 e=16 do=0.5 wd=0.1,2.7775,2.9945,-0.217,96,0.25
31,"Deep h=8,4 do=0.6 wd=0.3 lr=0.005",2.9987,2.9934,0.0053,185,0.34
32,Bottle n=6 e=16 do=0.5 wd=0.15,2.7476,2.9929,-0.2453,95,0.22
33,"Deep h=8,4 do=0.5 wd=0.1 lr=0.02",2.6248,2.9928,-0.368,81,0.15
34,Bottle n=3 e=16 do=0.4 wd=0.05,2.6737,2.9894,-0.3156,81,0.21
35,Bottle n=4 e=16 do=0.3 wd=0.15,2.4786,2.9881,-0.5095,81,0.21
36,"Deep h=20,10 do=0.6 wd=0.15 lr=0.01",2.7427,2.9855,-0.2428,100,0.21
37,Bottle n=5 e=16 do=0.3 wd=0.15,2.7232,2.9852,-0.262,84,0.22
38,Bottle n=4 e=20 do=0.5 wd=0.1,2.6574,2.9834,-0.3261,81,0.22
39,"Deep h=8,4 do=0.3 wd=0.2 lr=0.01",2.7459,2.9828,-0.2369,92,0.17
40,"Deep h=12,6 do=0.3 wd=0.3 lr=0.005",2.7316,2.9826,-0.2509,136,0.23
41,"Deep h=12,6 do=0.4 wd=0.3 lr=0.01",2.7239,2.9814,-0.2575,129,0.25
42,"Deep h=20,10 do=0.4 wd=0.3 lr=0.02",2.7306,2.9812,-0.2505,92,0.19
43,Bottle n=6 e=16 do=0.5 wd=0.05,2.7136,2.9806,-0.2671,81,0.18
44,"Deep h=20,10 do=0.6 wd=0.3 lr=0.02",2.7993,2.9792,-0.1799,103,0.22
45,Bottle n=5 e=16 do=0.4 wd=0.1,2.7508,2.9784,-0.2276,81,0.21
46,Bottle n=6 e=16 do=0.3 wd=0.1,2.7155,2.9778,-0.2622,97,0.22
47,Bottle n=6 e=16 do=0.4 wd=0.1,2.745,2.9778,-0.2328,96,0.22
48,"Deep h=16,8 do=0.5 wd=0.3 lr=0.01",2.7162,2.9775,-0.2614,122,0.22
49,"Deep h=16,8 do=0.4 wd=0.2 lr=0.01",2.7808,2.9773,-0.1965,124,0.22
50,Bottle n=5 e=20 do=0.5 wd=0.15,2.7256,2.9772,-0.2517,108,0.27
51,"Deep h=16,8 do=0.3 wd=0.3 lr=0.005",2.7262,2.9771,-0.2509,95,0.17
52,Bottle n=6 e=20 do=0.4 wd=0.15,2.72,2.9767,-0.2567,96,0.24
53,Bottle n=3 e=12 do=0.4 wd=0.1,2.6725,2.9766,-0.3041,81,0.2
54,Bottle n=3 e=20 do=0.3 wd=0.1,2.7141,2.9766,-0.2625,81,0.21
55,Bottle n=4 e=20 do=0.5 wd=0.15,2.72,2.9763,-0.2563,96,0.26
56,"Deep h=16,8 do=0.5 wd=0.2 lr=0.01",2.7321,2.9762,-0.2441,103,0.19
57,Bottle n=3 e=20 do=0.4 wd=0.15,2.7137,2.9761,-0.2624,95,0.26
58,Bottle n=3 e=16 do=0.3 wd=0.15,2.7188,2.976,-0.2572,122,0.31
59,Bottle n=3 e=20 do=0.3 wd=0.05,2.7141,2.9754,-0.2613,141,0.38
60,Bottle n=3 e=16 do=0.5 wd=0.05,2.7141,2.9754,-0.2613,518,1.32
61,Bottle n=3 e=12 do=0.3 wd=0.05,2.7142,2.9754,-0.2612,81,0.2
62,Bottle n=3 e=16 do=0.3 wd=0.1,2.7141,2.9754,-0.2613,172,0.44
63,Bottle n=4 e=12 do=0.3 wd=0.1,2.7141,2.9754,-0.2613,161,0.41
64,Bottle n=3 e=20 do=0.4 wd=0.1,2.7141,2.9754,-0.2613,179,0.48
65,Bottle n=4 e=20 do=0.3 wd=0.1,2.7141,2.9754,-0.2613,170,0.47
66,"Deep h=8,4 do=0.5 wd=0.2 lr=0.01",2.7142,2.9754,-0.2612,133,0.25
67,"Deep h=12,6 do=0.6 wd=0.15 lr=0.005",2.7146,2.9753,-0.2608,171,0.32
68,Bottle n=4 e=16 do=0.5 wd=0.05,2.7144,2.9753,-0.2609,105,0.27
69,Bottle n=4 e=20 do=0.4 wd=0.1,2.7143,2.9752,-0.2609,100,0.27
70,Bottle n=5 e=12 do=0.4 wd=0.15,2.7142,2.9752,-0.261,104,0.27
71,Bottle n=4 e=16 do=0.5 wd=0.15,2.7137,2.9752,-0.2615,101,0.26
72,Bottle n=6 e=16 do=0.5 wd=0.1,2.716,2.975,-0.2589,95,0.22
73,Bottle n=5 e=16 do=0.5 wd=0.05,2.7147,2.975,-0.2603,112,0.3
74,Bottle n=4 e=16 do=0.5 wd=0.1,2.7145,2.975,-0.2606,116,0.3
75,Bottle n=5 e=20 do=0.5 wd=0.1,2.7142,2.9749,-0.2608,102,0.25
76,Bottle n=5 e=16 do=0.3 wd=0.1,2.7152,2.9745,-0.2593,108,0.28
77,Bottle n=6 e=12 do=0.5 wd=0.05,2.7254,2.9745,-0.2491,119,0.27
78,"Deep h=8,4 do=0.4 wd=0.2 lr=0.02",2.714,2.9745,-0.2604,101,0.19
79,"Deep h=16,4 do=0.3 wd=0.2 lr=0.005",2.7208,2.9743,-0.2534,120,0.23
80,Bottle n=6 e=20 do=0.3 wd=0.15,2.7435,2.9742,-0.2307,84,0.2
81,"Deep h=20,10 do=0.5 wd=0.15 lr=0.02",3.2896,2.9739,0.3157,206,0.43
82,"Deep h=20,10 do=0.6 wd=0.2 lr=0.02",2.7147,2.9737,-0.259,101,0.21
83,Bottle n=5 e=12 do=0.5 wd=0.05,2.7198,2.9734,-0.2536,90,0.23
84,Bottle n=3 e=12 do=0.5 wd=0.15,2.7514,2.973,-0.2216,81,0.2
85,Bottle n=6 e=12 do=0.5 wd=0.1,2.7157,2.9729,-0.2573,98,0.22
86,Bottle n=4 e=12 do=0.4 wd=0.15,2.6762,2.9727,-0.2965,81,0.21
87,"Deep h=16,4 do=0.6 wd=0.2 lr=0.01",2.7155,2.9725,-0.257,104,0.2
88,"Deep h=16,4 do=0.6 wd=0.15 lr=0.01",2.7263,2.972,-0.2457,104,0.2
89,"Deep h=16,8 do=0.5 wd=0.15 lr=0.01",2.7366,2.9708,-0.2342,123,0.22
90,Bottle n=3 e=12 do=0.3 wd=0.1,2.7204,2.9694,-0.249,97,0.24
91,"Deep h=8,4 do=0.5 wd=0.2 lr=0.02",2.7217,2.9693,-0.2476,92,0.17
92,"Deep h=20,10 do=0.4 wd=0.3 lr=0.01",2.7279,2.9675,-0.2396,100,0.21
93,"Deep h=20,10 do=0.5 wd=0.3 lr=0.005",2.7564,2.9666,-0.2102,147,0.31
94,Bottle n=4 e=16 do=0.3 wd=0.1,2.7276,2.9656,-0.238,86,0.23
95,Bottle n=3 e=16 do=0.5 wd=0.15,2.7264,2.9655,-0.2391,89,0.23
96,Bottle n=6 e=16 do=0.4 wd=0.15,2.7366,2.9645,-0.2279,81,0.18
97,"Deep h=20,10 do=0.4 wd=0.2 lr=0.005",2.6626,2.9607,-0.2981,81,0.17
98,"Deep h=16,4 do=0.6 wd=0.1 lr=0.005",2.9298,2.9607,-0.0309,152,0.3
99,"Deep h=20,10 do=0.3 wd=0.3 lr=0.01",2.79,2.9601,-0.1701,118,0.24
100,"Deep h=16,8 do=0.6 wd=0.3 lr=0.005",2.7394,2.9579,-0.2186,120,0.22
101,"Deep h=16,8 do=0.6 wd=0.3 lr=0.01",2.7326,2.9568,-0.2241,90,0.16
102,"Deep h=20,10 do=0.5 wd=0.3 lr=0.02",2.9396,2.9566,-0.017,81,0.17
103,"Deep h=16,4 do=0.4 wd=0.15 lr=0.02",2.7492,2.9564,-0.2072,90,0.17
104,"Deep h=20,10 do=0.4 wd=0.2 lr=0.01",2.7545,2.9494,-0.1949,104,0.22
105,"Deep h=12,6 do=0.6 wd=0.1 lr=0.01",2.7472,2.9485,-0.2013,112,0.21
106,Bottle n=5 e=20 do=0.4 wd=0.15,2.7192,2.946,-0.2269,89,0.21
107,"Deep h=16,4 do=0.4 wd=0.15 lr=0.01",2.1348,2.9431,-0.8083,81,0.15
108,"Deep h=8,4 do=0.3 wd=0.1 lr=0.02",2.8658,2.9419,-0.0761,81,0.15
109,Bottle n=5 e=12 do=0.5 wd=0.15,2.7735,2.9403,-0.1668,87,0.23
110,"Deep h=16,8 do=0.5 wd=0.15 lr=0.02",3.1116,2.9403,0.1713,169,0.32
111,Bottle n=5 e=16 do=0.5 wd=0.15,2.7616,2.9398,-0.1782,103,0.27
112,"Deep h=16,4 do=0.6 wd=0.1 lr=0.02",2.7887,2.9383,-0.1495,88,0.17
113,"Deep h=20,10 do=0.6 wd=0.1 lr=0.02",2.757,2.937,-0.1801,114,0.24
114,Bottle n=4 e=12 do=0.5 wd=0.05,2.9888,2.9359,0.0529,102,0.26
115,Bottle n=6 e=20 do=0.3 wd=0.1,2.7293,2.9311,-0.2019,81,0.19
116,Shallow h=16 do=0.5 wd=0.2,4.5001,2.9281,1.572,185,0.2
117,"Deep h=16,8 do=0.6 wd=0.15 lr=0.005",2.7884,2.9251,-0.1367,91,0.16
118,"Deep h=12,6 do=0.6 wd=0.1 lr=0.02",2.7025,2.9119,-0.2094,81,0.15
119,"Deep h=16,8 do=0.6 wd=0.15 lr=0.01",2.8185,2.9118,-0.0933,95,0.17
120,"Deep h=8,4 do=0.4 wd=0.1 lr=0.01",3.9016,2.9108,0.9908,289,0.54
121,"Deep h=16,4 do=0.4 wd=0.15 lr=0.005",3.1271,2.9097,0.2174,204,0.39
