rank,config,train_sharpe,val_sharpe,val_std,gap,time_s
1,BottlePro n=8 e=32 do=0.6 wd=0.4,2.8365,2.8607,0.2623,-0.0242,0.93
2,BottlePro n=3 e=16 do=0.4 wd=0.4,2.7496,2.791,0.2925,-0.0414,0.95
3,BottlePro n=8 e=16 do=0.6 wd=0.4,2.772,2.7754,0.2907,-0.0033,1.0
4,BottlePro n=8 e=16 do=0.4 wd=0.4,2.7706,2.7745,0.2906,-0.0039,1.11
5,"DeepGELU h=8,4 do=0.5 wd=0.3",2.8028,2.7697,0.2894,0.0332,0.59
6,BottlePro n=5 e=32 do=0.6 wd=0.4,2.7752,2.7679,0.2875,0.0073,0.96
7,BottlePro n=5 e=16 do=0.6 wd=0.2,2.8165,2.7663,0.2927,0.0501,1.24
8,BottlePro n=5 e=16 do=0.2 wd=0.2,2.7815,2.7637,0.2923,0.0178,0.98
9,BottlePro n=8 e=32 do=0.2 wd=0.1,2.8685,2.7607,0.2944,0.1078,1.19
10,BottlePro n=8 e=16 do=0.6 wd=0.2,2.8275,2.7593,0.2948,0.0682,0.9
11,BottlePro n=8 e=32 do=0.4 wd=0.4,2.8312,2.7486,0.3039,0.0825,0.94
12,BottlePro n=5 e=16 do=0.4 wd=0.4,2.8807,2.7467,0.3217,0.1339,0.94
13,"DeepGELU h=8,4 do=0.3 wd=0.3",2.9364,2.7433,0.3327,0.1931,0.7
14,BottlePro n=3 e=32 do=0.4 wd=0.2,2.879,2.7429,0.2856,0.1361,0.95
15,BottlePro n=8 e=32 do=0.4 wd=0.2,2.8071,2.7419,0.3329,0.0651,1.33
16,BottlePro n=3 e=16 do=0.6 wd=0.2,3.0156,2.7377,0.128,0.2779,0.88
17,BottlePro n=5 e=16 do=0.6 wd=0.1,2.77,2.7162,0.3569,0.0539,0.8
18,BottlePro n=8 e=16 do=0.2 wd=0.2,2.8631,2.7146,0.2328,0.1485,0.82
19,BottlePro n=3 e=16 do=0.4 wd=0.2,2.9701,2.6923,0.3145,0.2778,1.24
20,BottlePro n=5 e=32 do=0.6 wd=0.1,3.0534,2.6848,0.3207,0.3686,1.09
21,BottlePro n=8 e=32 do=0.2 wd=0.4,2.767,2.6588,0.2836,0.1082,0.98
22,BottlePro n=5 e=16 do=0.2 wd=0.1,3.0676,2.6511,0.3536,0.4165,1.23
23,BottlePro n=3 e=16 do=0.6 wd=0.4,2.771,2.6211,0.4981,0.1499,1.1
24,BottlePro n=3 e=16 do=0.4 wd=0.1,3.0531,2.6095,0.379,0.4436,1.3
25,"DeepGELU h=8,4 do=0.3 wd=0.15",2.7538,2.6032,0.113,0.1506,0.58
26,"DeepGELU h=16,8 do=0.3 wd=0.3",2.8731,2.5694,0.1037,0.3037,0.65
27,BottlePro n=8 e=32 do=0.6 wd=0.2,3.0232,2.5604,0.4337,0.4627,0.98
28,BottlePro n=5 e=16 do=0.6 wd=0.4,2.9033,2.5583,0.561,0.345,0.84
29,BottlePro n=3 e=16 do=0.2 wd=0.4,2.9225,2.5575,0.4409,0.365,0.93
30,ResMLP h=8 d=1 do=0.2 wd=0.3,4.0114,2.5455,0.2075,1.4659,1.47
31,ResMLP h=16 d=3 do=0.6 wd=0.2,3.6796,2.5316,0.4609,1.1479,2.52
32,ResMLP h=24 d=3 do=0.6 wd=0.1,5.1568,2.528,0.4389,2.6288,2.56
33,"DeepGELU h=16,8 do=0.3 wd=0.15",3.2129,2.5219,0.2412,0.691,0.67
34,ResMLP h=24 d=3 do=0.2 wd=0.2,4.3597,2.5192,0.5316,1.8405,1.52
35,ResMLP h=24 d=1 do=0.4 wd=0.1,4.7779,2.4441,0.8847,2.3338,1.2
36,ResMLP h=24 d=3 do=0.6 wd=0.2,3.6726,2.3997,0.6069,1.2729,2.15
37,ResMLP h=16 d=3 do=0.2 wd=0.2,3.7593,2.351,0.4469,1.4083,2.55
38,ResMLP h=24 d=2 do=0.4 wd=0.2,4.2003,2.2992,0.4849,1.9012,1.29
39,ResMLP h=24 d=1 do=0.4 wd=0.3,3.8477,2.2971,0.5384,1.5505,0.9
40,ResMLP h=8 d=3 do=0.6 wd=0.3,4.3398,2.2371,0.4945,2.1027,1.92
41,ResMLP h=24 d=1 do=0.6 wd=0.2,4.5316,2.209,0.3955,2.3226,0.96
42,ResMLP h=24 d=1 do=0.6 wd=0.1,4.8089,2.1694,0.9315,2.6395,1.49
43,BottlePro n=3 e=32 do=0.4 wd=0.4,2.7284,2.1502,0.423,0.5782,1.08
44,ResMLP h=24 d=2 do=0.6 wd=0.2,3.9051,2.1388,0.4618,1.7663,2.92
45,ResMLP h=8 d=3 do=0.2 wd=0.3,4.4324,2.1384,0.2911,2.2939,1.54
46,ResMLP h=24 d=3 do=0.6 wd=0.3,4.0028,2.12,0.7938,1.8829,2.22
47,ResMLP h=24 d=1 do=0.4 wd=0.2,4.0826,2.1177,0.3715,1.9649,1.02
48,ResMLP h=16 d=3 do=0.6 wd=0.3,3.7722,2.1024,0.2869,1.6698,3.36
49,ResMLP h=16 d=3 do=0.2 wd=0.1,5.3424,2.0475,0.2752,3.2949,1.93
50,BottlePro n=5 e=32 do=0.2 wd=0.2,2.9186,2.0412,0.7978,0.8774,2.9
51,ResMLP h=8 d=2 do=0.4 wd=0.1,4.5986,2.0382,0.3618,2.5604,1.7
52,ResMLP h=8 d=3 do=0.6 wd=0.1,4.5357,2.0283,0.5994,2.5074,1.85
53,ResMLP h=16 d=3 do=0.4 wd=0.2,2.7319,2.0253,0.2058,0.7066,1.3
54,ResMLP h=8 d=3 do=0.4 wd=0.3,4.1951,2.0042,0.2494,2.1909,1.95
55,ResMLP h=16 d=1 do=0.6 wd=0.1,5.0704,1.993,0.6695,3.0774,1.39
56,ResMLP h=8 d=1 do=0.6 wd=0.3,3.9385,1.9866,0.1011,1.9519,1.59
57,ResMLP h=24 d=1 do=0.6 wd=0.3,3.993,1.9763,0.289,2.0167,1.66
58,"DeepGELU h=16,8 do=0.5 wd=0.15",2.2984,1.9577,0.9122,0.3407,0.65
59,BottlePro n=3 e=32 do=0.6 wd=0.1,2.2634,1.9445,0.9164,0.3189,1.14
60,ResMLP h=8 d=1 do=0.4 wd=0.3,3.9363,1.9312,0.7123,2.0051,1.21
61,ResMLP h=8 d=2 do=0.2 wd=0.1,4.3806,1.9287,0.7016,2.452,1.97
62,ResMLP h=8 d=1 do=0.2 wd=0.2,3.1329,1.9248,0.4224,1.2081,1.2
63,ResMLP h=24 d=3 do=0.4 wd=0.1,5.0376,1.9092,0.9986,3.1284,2.36
64,ResMLP h=16 d=3 do=0.6 wd=0.1,5.7346,1.8878,0.682,3.8467,3.5
65,ResMLP h=8 d=1 do=0.2 wd=0.1,5.324,1.8855,0.6912,3.4384,2.0
66,ResMLP h=16 d=1 do=0.4 wd=0.1,5.4363,1.8734,0.3698,3.5629,1.69
67,ResMLP h=24 d=2 do=0.2 wd=0.2,4.6063,1.8681,0.8629,2.7383,1.92
68,ResMLP h=8 d=2 do=0.2 wd=0.3,4.2271,1.8646,0.5343,2.3625,1.27
69,ResMLP h=8 d=1 do=0.4 wd=0.2,4.3075,1.8432,0.3081,2.4642,1.24
70,ResMLP h=16 d=3 do=0.2 wd=0.3,3.817,1.8316,0.6446,1.9854,2.92
71,ResMLP h=16 d=2 do=0.6 wd=0.1,4.7964,1.8258,0.9828,2.9706,2.16
72,ResMLP h=24 d=3 do=0.4 wd=0.3,4.0107,1.772,0.7057,2.2388,2.52
73,ResMLP h=16 d=2 do=0.4 wd=0.1,3.9659,1.756,0.7896,2.2099,1.87
74,ResMLP h=8 d=2 do=0.4 wd=0.3,4.4252,1.7526,0.3489,2.6726,2.25
75,ResMLP h=8 d=2 do=0.6 wd=0.3,4.1562,1.7353,0.0762,2.4209,2.01
76,ResMLP h=16 d=1 do=0.4 wd=0.3,3.8509,1.7323,0.7589,2.1186,1.31
